timestamp,temperature,rain,light,soil,decision2026-01-07 23:19:44,36.52,True,MEDIUM,DRY,OPEN
2026-01-07 23:19:50,25.22,False,MEDIUM,WET,CLOSE
2026-01-07 23:19:55,37.59,True,LOW,MOIST,OPEN
2026-01-07 23:20:00,32.55,False,MEDIUM,DRY,OPEN
2026-01-07 23:20:05,25.36,False,MEDIUM,MOIST,CLOSE
2026-01-07 23:23:18,38.3,False,LOW,MOIST,OPEN
2026-01-07 23:23:23,27.87,True,MEDIUM,DRY,OPEN
2026-01-07 23:35:42,36.54,False,LOW,WET,OPEN
2026-01-07 23:35:47,28.63,True,HIGH,DRY,OPEN
2026-01-07 23:35:52,36.84,False,MEDIUM,MOIST,OPEN
2026-01-07 23:35:57,37.88,True,HIGH,MOIST,OPEN
2026-01-07 23:36:02,31.02,False,MEDIUM,WET,CLOSE
2026-01-08 00:57:51,27.78,False,LOW,WET,CLOSE
2026-01-08 00:57:56,27.74,False,HIGH,DRY,CLOSE
2026-01-08 00:59:44,34.91,True,LOW,MOIST,OPEN
2026-01-08 01:07:59,36.59,True,MEDIUM,WET,CLOSE
2026-01-08 01:08:04,30.22,False,HIGH,DRY,CLOSE
2026-01-08 01:08:09,26.12,False,LOW,DRY,CLOSE
2026-01-08 01:08:14,29.01,False,MEDIUM,MOIST,CLOSE
2026-01-08 01:13:15,29.97,False,LOW,DRY,CLOSE
2026-01-08 01:13:20,33.4,False,MEDIUM,DRY,CLOSE
2026-01-08 01:13:38,38.74,False,HIGH,MOIST,OPEN
2026-01-08 01:13:43,29.85,False,HIGH,MOIST,OPEN
2026-01-08 01:13:48,36.6,True,LOW,DRY,OPEN
2026-01-08 01:13:53,35.7,True,LOW,MOIST,OPEN
2026-01-08 01:13:58,32.97,True,HIGH,WET,OPEN
2026-01-08 01:14:03,31.39,False,MEDIUM,WET,CLOSE
2026-01-08 01:14:08,25.17,True,LOW,WET,OPEN
2026-01-08 01:14:13,30.43,False,HIGH,DRY,OPEN
2026-01-08 01:31:09,28.56,True,LOW,WET,OPEN
2026-01-08 01:31:14,36.33,False,LOW,WET,OPEN
2026-01-08 01:31:19,31.08,True,LOW,MOIST,OPEN
2026-01-08 01:38:14,30.88,True,HIGH,MOIST,OPEN
2026-01-08 01:38:19,35.73,False,MEDIUM,WET,OPEN
2026-01-08 01:38:24,31.48,False,LOW,WET,CLOSE
2026-01-08 01:38:29,32.65,False,MEDIUM,MOIST,CLOSE
2026-01-08 01:38:34,33.35,False,MEDIUM,WET,CLOSE
2026-01-08 01:38:39,32.7,False,LOW,MOIST,CLOSE
2026-01-08 01:38:44,33.89,False,HIGH,MOIST,OPEN
2026-01-08 01:38:49,34.52,True,LOW,DRY,OPEN
2026-01-08 01:38:54,35.59,False,MEDIUM,MOIST,OPEN
2026-01-08 01:38:59,30.62,False,HIGH,DRY,OPEN
2026-01-08 01:39:04,27.96,True,LOW,WET,OPEN
2026-01-08 01:39:09,26.55,True,LOW,MOIST,OPEN
2026-01-08 01:39:14,27.59,False,HIGH,DRY,OPEN
2026-01-08 01:39:19,30.58,True,LOW,WET,OPEN
2026-01-08 01:39:24,38.35,False,LOW,WET,OPEN
2026-01-08 01:39:29,26.31,False,LOW,WET,CLOSE
2026-01-08 01:39:34,35.95,True,LOW,DRY,OPEN
2026-01-08 01:39:39,32.28,True,MEDIUM,WET,OPEN
2026-01-08 01:39:44,34.89,False,LOW,DRY,OPEN
2026-01-08 01:39:49,28.79,True,LOW,MOIST,OPEN
2026-01-08 01:39:54,34.54,True,MEDIUM,WET,OPEN
2026-01-08 01:39:59,30.51,True,MEDIUM,WET,OPEN
